project_id,bug_id,sloc,sloc_total
Chart,1,13269,96382
Chart,1,13269,96382
Chart,2,2515,96344
Chart,3,1571,96317
Chart,4,46751,94583
Chart,5,524,89343
Chart,6,1088,84679
Chart,7,939,84476
Chart,8,381,84473
Chart,9,1930,84467
Chart,10,141,84482
Chart,11,302,84457
Chart,12,8946,84459
Chart,13,1723,84358
Chart,14,11601,84374
Chart,15,23139,84129
Chart,16,656,84129
Chart,17,2173,83762
Chart,18,749,83754
Chart,19,8467,83351
Chart,20,969,80508
Chart,21,1186,80336
Chart,22,420,80307
Chart,23,8560,80038
Chart,24,65,79949
Chart,25,21450,79811
Chart,26,39569,78564
Cli,1,1081,1936
Cli,2,1082,1937
Cli,3,1335,1945
Cli,4,1065,1949
Cli,5,960,1951
Cli,7,1699,3883
Cli,8,412,1975
Cli,9,1119,1984
Cli,10,1230,2001
Cli,11,861,1952
Cli,12,1021,1940
Cli,13,1812,3883
Cli,14,2248,3938
Cli,15,2160,3935
Cli,16,2698,3946
Cli,17,1035,1992
Cli,18,1032,1989
Cli,19,1029,1986
Cli,20,1028,1985
Cli,21,2276,3980
Cli,22,1136,1945
Cli,23,944,1970
Cli,24,846,1974
Cli,25,845,1973
Cli,26,446,1974
Cli,27,1405,2049
Cli,28,1257,2436
Cli,29,33,2478
Cli,30,1694,2485
Cli,31,1036,2502
Cli,32,427,2500
Cli,33,556,2498
Cli,34,1815,2517
Cli,35,1276,2661
Cli,36,700,2665
Cli,37,1286,2671
Cli,38,1292,2677
Cli,39,1547,2752
Cli,40,247,2790
Closure,1,59900,90840
Closure,2,38277,90679
Closure,3,42025,90856
Closure,4,39324,90826
Closure,5,35979,90412
Closure,6,39131,90382
Closure,7,31520,90046
Closure,8,34249,89451
Closure,9,9240,89433
Closure,10,35443,89474
Closure,11,37902,89070
Closure,12,41184,88743
Closure,13,53195,88699
Closure,14,40910,88630
Closure,15,40292,88609
Closure,16,45013,88635
Closure,17,37565,88630
Closure,18,39905,88631
Closure,19,36828,88630
Closure,20,35833,88540
Closure,21,35326,88557
Closure,22,35332,88563
Closure,23,35119,88165
Closure,24,32359,87935
Closure,25,36341,87900
Closure,26,55044,87895
Closure,27,2244,87822
Closure,28,37246,87817
Closure,29,59847,87804
Closure,30,39702,86972
Closure,31,38143,86947
Closure,32,39624,86935
Closure,33,37093,86885
Closure,34,7159,86804
Closure,35,37005,86112
Closure,36,57251,86083
Closure,37,37963,85977
Closure,38,27490,85760
Closure,39,7720,85620
Closure,40,41115,85615
Closure,41,36313,85494
Closure,42,9353,85480
Closure,43,36285,85461
Closure,44,26591,84329
Closure,45,33570,84294
Closure,46,8157,84609
Closure,47,36716,84181
Closure,48,34735,84061
Closure,49,38136,91817
Closure,50,32724,91535
Closure,51,26519,91424
Closure,52,26522,91179
Closure,53,33303,90491
Closure,54,39587,89912
Closure,55,36565,89634
Closure,56,24133,89488
Closure,57,24885,89381
Closure,58,29846,89264
Closure,59,52583,88078
Closure,60,56685,87518
Closure,61,31233,87348
Closure,62,385,87356
Closure,64,48258,86753
Closure,65,25332,86709
Closure,66,33877,86621
Closure,67,31146,86603
Closure,68,11893,86587
Closure,69,34265,86613
Closure,70,34952,86123
Closure,71,33914,83431
Closure,72,33812,82968
Closure,73,24643,81803
Closure,74,31135,81211
Closure,75,30330,80903
Closure,76,30496,79627
Closure,77,24473,79581
Closure,78,30046,79582
Closure,79,30293,79165
Closure,80,22636,79124
Closure,81,9865,78783
Closure,82,32035,77966
Closure,83,42977,77476
Closure,84,9846,77220
Closure,85,28147,77032
Closure,86,35947,76517
Closure,87,27409,76414
Closure,88,45008,76381
Closure,89,32783,75581
Closure,90,30546,75501
Closure,91,28357,75412
Closure,92,25235,75331
Closure,94,27571,75107
Closure,95,31469,71117
Closure,96,29623,70900
Closure,97,23975,67856
Closure,98,24053,66559
Closure,99,25338,66547
Closure,100,22491,66339
Closure,101,36564,63223
Closure,102,39895,62672
Closure,103,30845,62661
Closure,104,6557,62661
Closure,105,22926,61682
Closure,106,24467,59026
Closure,107,66899,104559
Closure,108,43224,104548
Closure,109,13452,104162
Closure,110,42985,103295
Closure,111,34632,95570
Closure,112,41479,95094
Closure,113,36731,95089
Closure,114,41010,95089
Closure,115,41929,95087
Closure,116,46475,95072
Closure,117,41381,94992
Closure,118,46808,94991
Closure,119,42072,94990
Closure,120,39268,94928
Closure,121,39282,94942
Closure,122,11262,94807
Closure,123,31161,94524
Closure,124,37452,94266
Closure,125,40278,93555
Closure,126,35173,91779
Closure,127,35984,91770
Closure,128,29128,91498
Closure,129,55133,91495
Closure,130,41099,91415
Closure,131,35079,91413
Closure,132,36243,91353
Closure,133,12857,91313
Closure,134,30695,60868
Closure,135,29998,61563
Closure,136,25307,63047
Closure,137,24363,63086
Closure,138,28368,63140
Closure,139,23072,63180
Closure,140,22167,63211
Closure,141,35504,63241
Closure,142,28153,63783
Closure,143,37866,63799
Closure,144,33434,66985
Closure,145,15676,67057
Closure,146,19135,67296
Closure,147,31602,67536
Closure,148,26590,67653
Closure,149,38741,69085
Closure,150,31300,71081
Closure,151,39233,71259
Closure,152,30526,75480
Closure,153,30558,76196
Closure,154,32919,79093
Closure,155,33599,80576
Closure,156,35705,80719
Closure,157,36728,80918
Closure,158,46870,81115
Closure,159,33854,81798
Closure,160,34006,86521
Closure,161,32363,88667
Closure,162,35959,89935
Closure,163,32406,84022
Closure,164,36600,85686
Closure,165,37330,87901
Closure,166,37016,88690
Closure,167,38176,88706
Closure,168,37729,88793
Closure,169,38171,90054
Closure,170,43239,92378
Closure,171,44114,94333
Closure,172,41159,94808
Closure,173,38449,94972
Closure,174,42931,95070
Closure,175,46213,104133
Closure,176,41761,104475
Codec,1,1324,2584
Codec,2,544,2839
Codec,3,793,2971
Codec,4,469,2994
Codec,5,661,2995
Codec,6,597,3223
Codec,7,630,3227
Codec,8,522,3212
Codec,9,457,3761
Codec,10,109,3458
Codec,11,283,4554
Codec,12,959,4761
Codec,13,798,5828
Codec,14,1036,5899
Codec,15,153,6603
Codec,16,489,6589
Codec,17,114,7950
Codec,18,125,7953
Collections,25,957,26409
Collections,26,81,27596
Collections,27,425,27596
Collections,28,1808,28533
Compress,1,2099,6740
Compress,2,2204,7139
Compress,3,4139,7348
Compress,4,3577,7354
Compress,5,1282,7534
Compress,6,247,7576
Compress,7,101,8324
Compress,8,110,8365
Compress,9,4088,11219
Compress,10,5595,11523
Compress,11,3592,11616
Compress,12,4170,11620
Compress,13,3568,11624
Compress,14,1176,11628
Compress,15,1387,12192
Compress,16,4992,12221
Compress,17,1678,12317
Compress,18,4903,12331
Compress,19,3568,14767
Compress,20,4419,15049
Compress,21,7654,17168
Compress,22,2361,17140
Compress,23,7152,17128
Compress,24,503,17156
Compress,25,3217,17153
Compress,26,67,17471
Compress,27,500,17524
Compress,28,1632,17520
Compress,29,8068,18562
Compress,30,2349,18582
Compress,31,5412,18585
Compress,32,2154,18692
Compress,33,3795,18692
Compress,34,648,18739
Compress,35,7690,19306
Compress,36,7710,19410
Compress,37,1725,19417
Compress,38,1727,19419
Compress,39,4358,19451
Compress,40,57,19451
Compress,41,8353,20231
Compress,42,5413,20806
Compress,43,5838,22428
Compress,44,42,22599
Compress,45,496,22609
Compress,46,363,22732
Compress,47,3191,23285
Csv,1,634,806
Csv,2,59,1121
Csv,3,926,1155
Csv,4,911,1215
Csv,5,612,1234
Csv,6,1005,1245
Csv,7,1007,1247
Csv,8,378,1268
Csv,9,1027,1267
Csv,10,636,1273
Csv,11,1067,1309
Csv,12,1058,1300
Csv,13,1419,1420
Csv,14,840,1533
Csv,15,907,1621
Csv,16,1501,1632
Gson,1,4374,5378
Gson,2,5069,7263
Gson,3,5155,7280
Gson,4,1431,7639
Gson,5,644,7629
Gson,6,5423,7631
Gson,7,5219,7634
Gson,8,61,7652
Gson,9,310,7665
Gson,10,5451,7693
Gson,11,5482,7784
Gson,12,2368,7790
Gson,13,1116,7797
Gson,14,5570,7797
Gson,15,319,7826
Gson,16,5496,7826
Gson,17,2051,7836
Gson,18,6057,7883
JacksonCore,1,13159,15859
JacksonCore,2,12983,16068
JacksonCore,3,13106,16289
JacksonCore,4,1248,15655
JacksonCore,5,908,15675
JacksonCore,6,908,15675
JacksonCore,7,9382,16075
JacksonCore,8,1281,16989
JacksonCore,9,14194,17388
JacksonCore,10,14469,18916
JacksonCore,11,14381,18920
JacksonCore,12,10470,18564
JacksonCore,13,10365,18621
JacksonCore,14,1444,18634
JacksonCore,15,12177,18631
JacksonCore,16,13341,21328
JacksonCore,17,10079,18649
JacksonCore,18,10130,18700
JacksonCore,19,14053,18704
JacksonCore,20,12826,21459
JacksonCore,21,15569,22524
JacksonCore,22,17384,24299
JacksonCore,23,15671,25842
JacksonCore,24,20816,25951
JacksonCore,25,16478,25207
JacksonCore,26,16976,25991
JacksonDatabind,1,30662,42952
JacksonDatabind,2,34872,46014
JacksonDatabind,3,31844,46079
JacksonDatabind,4,36000,46059
JacksonDatabind,5,34375,46089
JacksonDatabind,6,33211,46089
JacksonDatabind,7,35814,46124
JacksonDatabind,8,39552,49353
JacksonDatabind,9,35978,49403
JacksonDatabind,10,35960,49568
JacksonDatabind,11,40093,49602
JacksonDatabind,12,36341,46253
JacksonDatabind,13,39452,49642
JacksonDatabind,14,41451,49648
JacksonDatabind,15,36725,49661
JacksonDatabind,16,36664,49715
JacksonDatabind,17,34253,46286
JacksonDatabind,18,40556,50634
JacksonDatabind,19,38383,50723
JacksonDatabind,20,39665,49747
JacksonDatabind,21,38022,50957
JacksonDatabind,22,36426,51382
JacksonDatabind,23,37973,51521
JacksonDatabind,24,34894,51675
JacksonDatabind,25,40687,51677
JacksonDatabind,26,44957,51711
JacksonDatabind,27,42591,51729
JacksonDatabind,28,41141,51747
JacksonDatabind,29,42393,51853
JacksonDatabind,30,44198,51865
JacksonDatabind,31,34562,51882
JacksonDatabind,32,41296,51908
JacksonDatabind,33,38444,51920
JacksonDatabind,34,40459,53693
JacksonDatabind,35,41655,49782
JacksonDatabind,36,36489,53831
JacksonDatabind,37,43789,53842
JacksonDatabind,38,43020,53890
JacksonDatabind,39,42675,51951
JacksonDatabind,40,38965,53922
JacksonDatabind,41,37316,53922
JacksonDatabind,42,37333,51960
JacksonDatabind,43,43063,53970
JacksonDatabind,44,44652,53971
JacksonDatabind,45,40576,53998
JacksonDatabind,46,34869,51963
JacksonDatabind,47,40787,54207
JacksonDatabind,48,39470,54231
JacksonDatabind,49,42393,51964
JacksonDatabind,50,46876,55517
JacksonDatabind,51,47247,55527
JacksonDatabind,52,45545,55529
JacksonDatabind,53,42979,54287
JacksonDatabind,54,41571,55733
JacksonDatabind,55,40652,54370
JacksonDatabind,56,39966,54396
JacksonDatabind,57,44102,54410
JacksonDatabind,58,43673,54410
JacksonDatabind,59,46735,55852
JacksonDatabind,60,48590,55896
JacksonDatabind,61,47489,55983
JacksonDatabind,62,41095,54336
JacksonDatabind,63,45977,56019
JacksonDatabind,64,41976,56025
JacksonDatabind,65,41004,56067
JacksonDatabind,66,46119,56042
JacksonDatabind,67,42614,56048
JacksonDatabind,68,44199,56055
JacksonDatabind,69,43677,54366
JacksonDatabind,70,44087,56126
JacksonDatabind,71,38595,54370
JacksonDatabind,72,44058,54378
JacksonDatabind,73,45818,56155
JacksonDatabind,74,45532,56154
JacksonDatabind,75,42190,56172
JacksonDatabind,76,45500,56222
JacksonDatabind,77,44703,54394
JacksonDatabind,78,46034,56237
JacksonDatabind,79,41045,54419
JacksonDatabind,80,40316,59503
JacksonDatabind,81,48344,59507
JacksonDatabind,82,45952,56329
JacksonDatabind,83,43477,56329
JacksonDatabind,84,42055,56334
JacksonDatabind,85,42285,56336
JacksonDatabind,86,42084,56363
JacksonDatabind,87,40959,56370
JacksonDatabind,88,45965,56392
JacksonDatabind,89,46450,56396
JacksonDatabind,90,43905,56522
JacksonDatabind,91,44346,56530
JacksonDatabind,92,45019,54433
JacksonDatabind,93,45873,56573
JacksonDatabind,94,44824,54474
JacksonDatabind,95,6699,56596
JacksonDatabind,96,48399,60951
JacksonDatabind,97,43502,60951
JacksonDatabind,98,52154,60954
JacksonDatabind,99,6699,56600
JacksonDatabind,100,41577,60968
JacksonDatabind,101,49499,60969
JacksonDatabind,102,44489,60979
JacksonDatabind,103,46294,60986
JacksonDatabind,104,44499,61044
JacksonDatabind,105,48959,61064
JacksonDatabind,106,43959,61646
JacksonDatabind,107,50368,61074
JacksonDatabind,108,42534,61676
JacksonDatabind,109,46421,61759
JacksonDatabind,110,46284,61084
JacksonDatabind,111,49190,61086
JacksonDatabind,112,48895,61092
JacksonXml,1,4319,4667
JacksonXml,2,4281,4680
JacksonXml,3,2377,4679
JacksonXml,4,3973,4707
JacksonXml,5,4218,4849
JacksonXml,6,4218,4849
Jsoup,1,2127,2546
Jsoup,2,2127,2546
Jsoup,3,2162,2581
Jsoup,4,2217,5502
Jsoup,5,4476,5502
Jsoup,6,5242,6125
Jsoup,7,4915,6155
Jsoup,8,5214,6176
Jsoup,9,2239,6179
Jsoup,10,5206,6245
Jsoup,11,5294,6257
Jsoup,12,5396,6883
Jsoup,13,9353,10522
Jsoup,14,9291,10571
Jsoup,15,8892,10634
Jsoup,16,4222,10621
Jsoup,17,8539,10623
Jsoup,18,8613,10625
Jsoup,19,8979,10642
Jsoup,20,8738,10948
Jsoup,21,9733,10949
Jsoup,22,9587,10977
Jsoup,23,9608,10998
Jsoup,24,8857,11016
Jsoup,25,7510,8904
Jsoup,26,7124,8986
Jsoup,27,85,8990
Jsoup,28,7664,8991
Jsoup,29,7580,8979
Jsoup,30,7144,9029
Jsoup,31,5417,9048
Jsoup,32,7684,9108
Jsoup,33,7098,9440
Jsoup,34,6998,9441
Jsoup,35,7099,9441
Jsoup,36,8177,9519
Jsoup,37,8002,9537
Jsoup,38,7074,9536
Jsoup,39,8118,9617
Jsoup,40,7229,9629
Jsoup,41,8303,10210
Jsoup,42,9144,10217
Jsoup,43,8420,10298
Jsoup,44,7669,10298
Jsoup,45,7768,10352
Jsoup,46,8618,10352
Jsoup,47,8476,10361
Jsoup,48,951,10410
Jsoup,49,2670,10464
Jsoup,50,7993,10457
Jsoup,51,8489,10464
Jsoup,52,7222,10575
Jsoup,53,8538,10560
Jsoup,54,8683,10593
Jsoup,55,8723,10760
Jsoup,56,8010,10794
Jsoup,57,8953,10817
Jsoup,58,8814,10970
Jsoup,59,8812,10991
Jsoup,60,1337,10988
Jsoup,61,9066,11014
Jsoup,62,8113,11126
Jsoup,63,8901,11297
Jsoup,64,8109,11286
Jsoup,65,8885,11532
Jsoup,66,8706,11664
Jsoup,67,9398,11773
Jsoup,68,9453,11787
Jsoup,69,10592,11791
Jsoup,70,8424,11793
Jsoup,71,9572,11796
Jsoup,72,8220,11833
Jsoup,73,8852,11845
Jsoup,74,9497,11849
Jsoup,75,9269,11923
Jsoup,76,9273,11927
Jsoup,77,7004,11931
Jsoup,78,9907,11938
Jsoup,79,9581,11943
Jsoup,80,8052,11939
Jsoup,81,9915,11977
Jsoup,82,9900,11941
Jsoup,83,8587,11944
Jsoup,84,8706,11951
Jsoup,85,187,12015
Jsoup,86,7417,12016
Jsoup,87,8579,12016
Jsoup,88,8562,12031
Jsoup,89,486,12031
Jsoup,90,4262,12037
Jsoup,91,6532,12043
Jsoup,92,9417,12095
Jsoup,93,10893,12128
JxPath,1,14886,19372
JxPath,2,15639,19377
JxPath,3,14351,19399
JxPath,4,13729,18925
JxPath,5,13298,18911
JxPath,6,12796,19027
JxPath,7,13342,19023
JxPath,8,13364,19071
JxPath,9,13434,19071
JxPath,10,14554,19073
JxPath,11,15661,19097
JxPath,12,14113,19111
JxPath,13,14956,19113
JxPath,14,15627,19137
JxPath,15,14642,19154
JxPath,16,14556,19129
JxPath,17,15577,19137
JxPath,18,15572,19132
JxPath,19,12900,18660
JxPath,20,12281,18747
JxPath,21,15432,18756
JxPath,22,13802,18764
Lang,1,2880,21779
Lang,3,2870,21713
Lang,4,115,21685
Lang,5,140,21549
Lang,6,5033,21481
Lang,7,3039,21495
Lang,8,1379,20363
Lang,9,1449,20433
Lang,10,1458,20442
Lang,11,105,20342
Lang,12,98,20335
Lang,13,127,20224
Lang,14,2176,19630
Lang,15,4001,19511
Lang,16,2927,19873
Lang,17,2497,18999
Lang,18,1007,18997
Lang,19,116,18970
Lang,20,2103,18967
Lang,21,582,18855
Lang,22,437,18870
Lang,23,836,18802
Lang,24,2653,18777
Lang,25,293,18775
Lang,26,832,18452
Lang,27,2849,18382
Lang,28,107,17806
Lang,29,1962,17794
Lang,30,3678,17622
Lang,31,3663,17591
Lang,32,2079,17301
Lang,33,2237,17302
Lang,34,1496,17310
Lang,35,1606,17078
Lang,36,2708,17072
Lang,37,1584,17058
Lang,38,1003,17048
Lang,39,1836,16983
Lang,40,1798,17428
Lang,41,440,17349
Lang,42,1180,18817
Lang,43,547,18817
Lang,44,331,18814
Lang,45,2063,18777
Lang,46,438,18013
Lang,47,1749,18490
Lang,48,373,18220
Lang,49,428,17974
Lang,50,826,17764
Lang,51,291,17028
Lang,52,369,17024
Lang,53,390,16979
Lang,54,134,16921
Lang,55,93,16919
Lang,56,996,16957
Lang,57,314,16955
Lang,58,2269,16961
Lang,59,1526,16943
Lang,60,1653,16920
Lang,61,1653,16920
Lang,62,779,16911
Lang,63,1893,16791
Lang,64,2034,16694
Lang,65,360,16593
Math,1,3966,84317
Math,2,9606,83799
Math,3,962,82747
Math,4,5420,82488
Math,5,526,81192
Math,6,22547,80941
Math,7,11343,80661
Math,8,2028,79951
Math,9,3492,79676
Math,10,3560,78085
Math,11,18752,77745
Math,12,10334,77743
Math,13,13655,77734
Math,14,11986,77731
Math,15,10428,70317
Math,16,10409,70295
Math,17,1844,68952
Math,18,18833,68684
Math,19,4708,68532
Math,20,18710,68531
Math,21,9287,67850
Math,22,10137,67816
Math,23,3953,67725
Math,24,3933,67559
Math,25,806,66355
Math,26,3623,64715
Math,27,3118,64715
Math,28,10336,64711
Math,29,5688,63611
Math,30,10597,63604
Math,31,11386,63423
Math,32,6766,63399
Math,33,9991,62768
Math,34,498,62729
Math,35,800,62696
Math,36,1033,62954
Math,37,8790,63219
Math,38,8735,62802
Math,39,10250,62791
Math,40,3340,63088
Math,41,2953,63106
Math,42,9954,63104
Math,43,9877,62837
Math,44,11243,62418
